ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
AA000,AA000,0,0
AD000,AD000,0,0
AD000,AD100,1,1
AD000,AD200,1,1
AD000,AD300,1,1
AD000,AD400,1,1
AD000,AD900,1,1
AD100,AD100,0,0
AD200,AD200,0,0
AD300,AD300,0,0
AD400,AD400,0,0
AD900,AD900,0,0
AH000,AH000,0,0
AH000,AH100,1,1
AH000,AH102,1,1
AH000,AH103,1,1
AH000,AH104,1,1
AH000,AH105,1,1
AH000,AH106,1,1
AH000,AH107,1,1
AH000,AH109,1,1
AH100,AH100,0,0
AH102,AH102,0,0
AH103,AH103,0,0
AH104,AH104,0,0
AH105,AH105,0,0
AH106,AH106,0,0
AH107,AH107,0,0
AH109,AH109,0,0
AM000,AM000,0,0
AM000,AM110,2,2
AM000,AM111,2,2
AM000,AM112,2,2
AM000,AM113,2,2
AM000,AM114,1,1
AM000,AM115,2,2
AM000,AM116,2,2
AM000,AM117,2,2
AM000,AM118,2,2
AM000,AM119,2,2
AM000,AM150,1,1
AM000,AM200,1,1
AM000,AM250,1,1
AM000,AM300,1,1
AM000,AM350,1,1
AM000,AM400,1,1
AM000,AM500,1,1
AM000,AM550,1,1
AM000,AM600,1,1
AM000,AM650,1,1
AM000,AM700,1,1
AM000,AM800,1,1
AM000,AM900,1,1
AM114,AM110,1,1
AM114,AM111,1,1
AM114,AM112,1,1
AM114,AM113,1,1
AM114,AM114,0,0
AM114,AM115,1,1
AM114,AM116,1,1
AM114,AM117,1,1
AM114,AM118,1,1
AM114,AM119,1,1
AM150,AM150,0,0
AM200,AM200,0,0
AM250,AM250,0,0
AM300,AM300,0,0
AM350,AM350,0,0
AM400,AM400,0,0
AM500,AM500,0,0
AM550,AM550,0,0
AM600,AM600,0,0
AM650,AM650,0,0
AM700,AM700,0,0
AM800,AM800,0,0
AM900,AM900,0,0
AN000,AN000,0,0
AN000,AN100,1,1
AN000,AN200,1,1
AN000,AN300,1,1
AN000,AN400,1,1
AN000,AN500,1,1
AN000,AN600,1,1
AN000,AN700,1,1
AN000,AN900,1,1
AN100,AN100,0,0
AN200,AN200,0,0
AN300,AN300,0,0
AN400,AN400,0,0
AN500,AN500,0,0
AN600,AN600,0,0
AN700,AN700,0,0
AN900,AN900,0,0
AP000,AP000,0,0
AP000,AP100,1,1
AP000,AP101,2,2
AP000,AP109,2,2
AP000,AP200,1,1
AP000,AP300,1,1
AP000,AP900,1,1
AP100,AP100,0,0
AP100,AP101,1,1
AP100,AP109,1,1
AP200,AP200,0,0
AP300,AP300,0,0
AP900,AP900,0,0
AS000,AS000,0,0
AU000,AU000,0,0
AU000,AU100,1,1
AU000,AU200,1,1
AU000,AU300,1,1
AU000,AU350,1,1
AU000,AU900,1,1
AU100,AU100,0,0
AU200,AU200,0,0
AU300,AU300,0,0
AU350,AU350,0,0
AU900,AU900,0,0
BL000,BL000,0,0
BL000,BL110,1,1
BL000,BL115,1,1
BL000,BL116,1,1
BL000,BL117,1,1
BL000,BL118,1,1
BL000,BL400,1,1
BL000,BL500,1,1
BL000,BL800,1,1
BL000,BL900,1,1
BL110,BL110,0,0
BL115,BL115,0,0
BL116,BL116,0,0
BL117,BL117,0,0
BL118,BL118,0,0
BL400,BL400,0,0
BL500,BL500,0,0
BL800,BL800,0,0
BL900,BL900,0,0
CN000,CN000,0,0
CN000,CN100,1,1
CN000,CN101,2,2
CN000,CN102,2,2
CN000,CN103,2,2
CN000,CN104,2,2
CN000,CN105,2,2
CN000,CN200,1,1
CN000,CN201,2,2
CN000,CN202,2,2
CN000,CN203,2,2
CN000,CN204,2,2
CN000,CN205,2,2
CN000,CN300,1,1
CN000,CN301,2,2
CN000,CN302,2,2
CN000,CN309,2,2
CN000,CN400,1,1
CN000,CN500,1,1
CN000,CN550,1,1
CN000,CN600,1,1
CN000,CN601,2,2
CN000,CN602,2,2
CN000,CN609,2,2
CN000,CN700,1,1
CN000,CN701,2,2
CN000,CN709,2,2
CN000,CN750,1,1
CN000,CN800,1,1
CN000,CN801,2,2
CN000,CN802,2,2
CN000,CN809,2,2
CN000,CN850,1,1
CN000,CN900,1,1
CN100,CN100,0,0
CN100,CN101,1,1
CN100,CN102,1,1
CN100,CN103,1,1
CN100,CN104,1,1
CN100,CN105,1,1
CN200,CN200,0,0
CN200,CN201,1,1
CN200,CN202,1,1
CN200,CN203,1,1
CN200,CN204,1,1
CN200,CN205,1,1
CN300,CN300,0,0
CN300,CN301,1,1
CN300,CN302,1,1
CN300,CN309,1,1
CN400,CN400,0,0
CN500,CN500,0,0
CN550,CN550,0,0
CN600,CN600,0,0
CN600,CN601,1,1
CN600,CN602,1,1
CN600,CN609,1,1
CN700,CN700,0,0
CN700,CN701,1,1
CN700,CN709,1,1
CN750,CN750,0,0
CN800,CN800,0,0
CN800,CN801,1,1
CN800,CN802,1,1
CN800,CN809,1,1
CN850,CN850,0,0
CN900,CN900,0,0
CV000,CV000,0,0
CV000,CV050,1,1
CV000,CV100,1,1
CV000,CV150,1,1
CV000,CV200,1,1
CV000,CV250,1,1
CV000,CV300,1,1
CV000,CV350,1,1
CV000,CV400,1,1
CV000,CV490,1,1
CV000,CV500,1,1
CV000,CV600,1,1
CV000,CV700,1,1
CV000,CV701,2,2
CV000,CV702,2,2
CV000,CV703,2,2
CV000,CV704,2,2
CV000,CV709,2,2
CV000,CV800,1,1
CV000,CV805,1,1
CV000,CV806,1,1
CV000,CV900,1,1
CV050,CV050,0,0
CV100,CV100,0,0
CV150,CV150,0,0
CV200,CV200,0,0
CV250,CV250,0,0
CV300,CV300,0,0
CV350,CV350,0,0
CV400,CV400,0,0
CV490,CV490,0,0
CV500,CV500,0,0
CV600,CV600,0,0
CV700,CV700,0,0
CV700,CV701,1,1
CV700,CV702,1,1
CV700,CV703,1,1
CV700,CV704,1,1
CV700,CV709,1,1
CV800,CV800,0,0
CV805,CV805,0,0
CV806,CV806,0,0
CV900,CV900,0,0
DE000,DE000,0,0
DE000,DE100,1,1
DE000,DE101,2,2
DE000,DE102,2,2
DE000,DE103,2,2
DE000,DE109,2,2
DE000,DE200,1,1
DE000,DE250,1,1
DE000,DE300,1,1
DE000,DE350,1,1
DE000,DE400,1,1
DE000,DE450,1,1
DE000,DE500,1,1
DE000,DE600,1,1
DE000,DE650,1,1
DE000,DE700,1,1
DE000,DE750,1,1
DE000,DE751,2,2
DE000,DE752,2,2
DE000,DE800,1,1
DE000,DE810,2,2
DE000,DE820,2,2
DE000,DE890,1,1
DE000,DE900,1,1
DE100,DE100,0,0
DE100,DE101,1,1
DE100,DE102,1,1
DE100,DE103,1,1
DE100,DE109,1,1
DE200,DE200,0,0
DE250,DE250,0,0
DE300,DE300,0,0
DE350,DE350,0,0
DE400,DE400,0,0
DE450,DE450,0,0
DE500,DE500,0,0
DE600,DE600,0,0
DE650,DE650,0,0
DE700,DE700,0,0
DE750,DE750,0,0
DE750,DE751,1,1
DE750,DE752,1,1
DE800,DE800,0,0
DE800,DE810,1,1
DE800,DE820,1,1
DE890,DE890,0,0
DE900,DE900,0,0
DX000,DX000,0,0
DX000,DX100,1,1
DX000,DX101,2,2
DX000,DX102,2,2
DX000,DX109,2,2
DX000,DX200,1,1
DX000,DX201,2,2
DX000,DX202,2,2
DX000,DX300,1,1
DX000,DX900,1,1
DX100,DX100,0,0
DX100,DX101,1,1
DX100,DX102,1,1
DX100,DX109,1,1
DX200,DX200,0,0
DX200,DX201,1,1
DX200,DX202,1,1
DX300,DX300,0,0
DX900,DX900,0,0
GA000,GA000,0,0
GA000,GA100,1,1
GA000,GA101,2,2
GA000,GA102,2,2
GA000,GA103,2,2
GA000,GA104,2,2
GA000,GA105,2,2
GA000,GA106,2,2
GA000,GA107,2,2
GA000,GA108,2,2
GA000,GA109,2,2
GA000,GA110,2,2
GA000,GA199,2,2
GA000,GA200,1,1
GA000,GA201,2,2
GA000,GA202,2,2
GA000,GA203,2,2
GA000,GA204,2,2
GA000,GA205,2,2
GA000,GA206,2,2
GA000,GA208,1,1
GA000,GA209,2,2
GA000,GA300,1,1
GA000,GA301,2,2
GA000,GA302,2,2
GA000,GA303,2,2
GA000,GA309,2,2
GA000,GA400,1,1
GA000,GA500,1,1
GA000,GA600,1,1
GA000,GA605,1,1
GA000,GA750,1,1
GA000,GA751,2,2
GA000,GA752,2,2
GA000,GA759,2,2
GA000,GA800,1,1
GA000,GA801,2,2
GA000,GA802,2,2
GA000,GA900,1,1
GA100,GA100,0,0
GA100,GA101,1,1
GA100,GA102,1,1
GA100,GA103,1,1
GA100,GA104,1,1
GA100,GA105,1,1
GA100,GA106,1,1
GA100,GA107,1,1
GA100,GA108,1,1
GA100,GA109,1,1
GA100,GA110,1,1
GA100,GA199,1,1
GA200,GA200,0,0
GA200,GA201,1,1
GA200,GA202,1,1
GA200,GA203,1,1
GA200,GA204,1,1
GA200,GA205,1,1
GA200,GA206,1,1
GA200,GA209,1,1
GA208,GA208,0,0
GA300,GA300,0,0
GA300,GA301,1,1
GA300,GA302,1,1
GA300,GA303,1,1
GA300,GA309,1,1
GA400,GA400,0,0
GA500,GA500,0,0
GA600,GA600,0,0
GA605,GA605,0,0
GA750,GA750,0,0
GA750,GA751,1,1
GA750,GA752,1,1
GA750,GA759,1,1
GA800,GA800,0,0
GA800,GA801,1,1
GA800,GA802,1,1
GA900,GA900,0,0
GU000,GU000,0,0
GU000,GU100,1,1
GU000,GU200,1,1
GU000,GU201,2,2
GU000,GU209,2,2
GU000,GU300,1,1
GU000,GU400,1,1
GU000,GU500,1,1
GU000,GU600,1,1
GU000,GU900,1,1
GU100,GU100,0,0
GU200,GU200,0,0
GU200,GU201,1,1
GU200,GU209,1,1
GU300,GU300,0,0
GU400,GU400,0,0
GU500,GU500,0,0
GU600,GU600,0,0
GU900,GU900,0,0
HA000,HA000,0,0
HS000,HS000,0,0
HS000,HS050,1,1
HS000,HS051,2,2
HS000,HS052,2,2
HS000,HS100,1,1
HS000,HS200,1,1
HS000,HS300,1,1
HS000,HS400,1,1
HS000,HS500,1,1
HS000,HS501,2,2
HS000,HS502,2,2
HS000,HS503,2,2
HS000,HS509,2,2
HS000,HS600,1,1
HS000,HS700,1,1
HS000,HS701,2,2
HS000,HS702,2,2
HS000,HS800,1,1
HS000,HS850,1,1
HS000,HS851,2,2
HS000,HS852,2,2
HS000,HS875,1,1
HS000,HS900,1,1
HS050,HS050,0,0
HS050,HS051,1,1
HS050,HS052,1,1
HS100,HS100,0,0
HS200,HS200,0,0
HS300,HS300,0,0
HS400,HS400,0,0
HS500,HS500,0,0
HS500,HS501,1,1
HS500,HS502,1,1
HS500,HS503,1,1
HS500,HS509,1,1
HS600,HS600,0,0
HS700,HS700,0,0
HS700,HS701,1,1
HS700,HS702,1,1
HS800,HS800,0,0
HS850,HS850,0,0
HS850,HS851,1,1
HS850,HS852,1,1
HS875,HS875,0,0
HS900,HS900,0,0
IM000,IM000,0,0
IM000,IM100,1,1
IM000,IM105,1,1
IM000,IM109,1,1
IM000,IM300,1,1
IM000,IM400,1,1
IM000,IM500,1,1
IM000,IM600,1,1
IM000,IM700,1,1
IM000,IM900,1,1
IM100,IM100,0,0
IM105,IM105,0,0
IM109,IM109,0,0
IM300,IM300,0,0
IM400,IM400,0,0
IM500,IM500,0,0
IM600,IM600,0,0
IM700,IM700,0,0
IM900,IM900,0,0
IN000,IN000,0,0
IN000,IN001,1,1
IN000,IN002,1,1
IN000,IN003,1,1
IN000,IN004,1,1
IN000,IN005,1,1
IN000,IN100,1,1
IN000,IN110,1,1
IN000,IN120,1,1
IN000,IN130,1,1
IN000,IN140,1,1
IN000,IN150,1,1
IN000,IN160,1,1
IN000,IN170,1,1
IN000,IN180,1,1
IN000,IN200,1,1
IN000,IN210,1,1
IN000,IN220,1,1
IN000,IN230,1,1
IN000,IN240,1,1
IN000,IN250,1,1
IN000,IN260,1,1
IN000,IN270,1,1
IN000,IN280,1,1
IN000,IN300,1,1
IN000,IN350,1,1
IN000,IN400,1,1
IN000,IN410,1,1
IN000,IN420,1,1
IN000,IN430,1,1
IN000,IN500,1,1
IN000,IN505,1,1
IN000,IN510,1,1
IN000,IN515,1,1
IN000,IN520,1,1
IN000,IN530,1,1
IN000,IN540,1,1
IN000,IN550,1,1
IN000,IN560,1,1
IN000,IN570,1,1
IN000,IN580,1,1
IN000,IN585,1,1
IN000,IN590,1,1
IN000,IN595,1,1
IN000,IN600,1,1
IN000,IN610,1,1
IN000,IN620,1,1
IN000,IN630,1,1
IN000,IN640,1,1
IN000,IN650,1,1
IN000,IN660,1,1
IN000,IN665,1,1
IN000,IN670,1,1
IN000,IN675,1,1
IN000,IN700,1,1
IN000,IN710,1,1
IN000,IN720,1,1
IN000,IN800,1,1
IN000,IN810,1,1
IN000,IN820,1,1
IN000,IN830,1,1
IN000,IN840,1,1
IN000,IN850,1,1
IN000,IN860,1,1
IN000,IN870,1,1
IN000,IN880,1,1
IN000,IN900,1,1
IN000,IN910,1,1
IN000,IN920,1,1
IN000,IN930,1,1
IN000,IN940,1,1
IN000,IN950,1,1
IN000,IN960,1,1
IN000,IN970,1,1
IN000,IN980,1,1
IN000,IN999,1,1
IN001,IN001,0,0
IN002,IN002,0,0
IN003,IN003,0,0
IN004,IN004,0,0
IN005,IN005,0,0
IN100,IN100,0,0
IN110,IN110,0,0
IN120,IN120,0,0
IN130,IN130,0,0
IN140,IN140,0,0
IN150,IN150,0,0
IN160,IN160,0,0
IN170,IN170,0,0
IN180,IN180,0,0
IN200,IN200,0,0
IN210,IN210,0,0
IN220,IN220,0,0
IN230,IN230,0,0
IN240,IN240,0,0
IN250,IN250,0,0
IN260,IN260,0,0
IN270,IN270,0,0
IN280,IN280,0,0
IN300,IN300,0,0
IN350,IN350,0,0
IN400,IN400,0,0
IN410,IN410,0,0
IN420,IN420,0,0
IN430,IN430,0,0
IN500,IN500,0,0
IN505,IN505,0,0
IN510,IN510,0,0
IN515,IN515,0,0
IN520,IN520,0,0
IN530,IN530,0,0
IN540,IN540,0,0
IN550,IN550,0,0
IN560,IN560,0,0
IN570,IN570,0,0
IN580,IN580,0,0
IN585,IN585,0,0
IN590,IN590,0,0
IN595,IN595,0,0
IN600,IN600,0,0
IN610,IN610,0,0
IN620,IN620,0,0
IN630,IN630,0,0
IN640,IN640,0,0
IN650,IN650,0,0
IN660,IN660,0,0
IN665,IN665,0,0
IN670,IN670,0,0
IN675,IN675,0,0
IN700,IN700,0,0
IN710,IN710,0,0
IN720,IN720,0,0
IN800,IN800,0,0
IN810,IN810,0,0
IN820,IN820,0,0
IN830,IN830,0,0
IN840,IN840,0,0
IN850,IN850,0,0
IN860,IN860,0,0
IN870,IN870,0,0
IN880,IN880,0,0
IN900,IN900,0,0
IN910,IN910,0,0
IN920,IN920,0,0
IN930,IN930,0,0
IN940,IN940,0,0
IN950,IN950,0,0
IN960,IN960,0,0
IN970,IN970,0,0
IN980,IN980,0,0
IN999,IN999,0,0
IP000,IP000,0,0
IP000,IP100,1,1
IP000,IP900,1,1
IP100,IP100,0,0
IP900,IP900,0,0
IR000,IR000,0,0
IR000,IR100,1,1
IR000,IR200,1,1
IR000,IR300,1,1
IR000,IR900,1,1
IR100,IR100,0,0
IR200,IR200,0,0
IR300,IR300,0,0
IR900,IR900,0,0
MS000,MS000,0,0
MS000,MS100,1,1
MS000,MS101,2,2
MS000,MS102,2,2
MS000,MS130,2,2
MS000,MS140,2,2
MS000,MS150,2,2
MS000,MS160,2,2
MS000,MS190,2,2
MS000,MS200,1,1
MS000,MS205,1,1
MS000,MS300,1,1
MS000,MS400,1,1
MS000,MS900,1,1
MS100,MS100,0,0
MS100,MS101,1,1
MS100,MS102,1,1
MS100,MS130,1,1
MS100,MS140,1,1
MS100,MS150,1,1
MS100,MS160,1,1
MS100,MS190,1,1
MS200,MS200,0,0
MS205,MS205,0,0
MS300,MS300,0,0
MS400,MS400,0,0
MS900,MS900,0,0
NT000,NT000,0,0
NT000,NT100,1,1
NT000,NT200,1,1
NT000,NT300,1,1
NT000,NT400,1,1
NT000,NT900,1,1
NT100,NT100,0,0
NT200,NT200,0,0
NT300,NT300,0,0
NT400,NT400,0,0
NT900,NT900,0,0
OP000,OP000,0,0
OP000,OP100,1,1
OP000,OP101,2,2
OP000,OP102,2,2
OP000,OP103,2,2
OP000,OP105,2,2
OP000,OP107,2,2
OP000,OP109,2,2
OP000,OP140,2,2
OP000,OP160,2,2
OP000,OP200,1,1
OP000,OP210,2,2
OP000,OP219,2,2
OP000,OP220,2,2
OP000,OP230,2,2
OP000,OP300,1,1
OP000,OP350,1,1
OP000,OP400,1,1
OP000,OP500,1,1
OP000,OP600,1,1
OP000,OP700,1,1
OP000,OP800,1,1
OP000,OP900,1,1
OP100,OP100,0,0
OP100,OP101,1,1
OP100,OP102,1,1
OP100,OP103,1,1
OP100,OP105,1,1
OP100,OP107,1,1
OP100,OP109,1,1
OP100,OP140,1,1
OP100,OP160,1,1
OP200,OP200,0,0
